"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","737","tests","test_checkout","TestCheckoutOverview","","","test_multiple_items_on_overview[chromium]",""
"passed","Sat Apr 04 19:43:01 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","1278","tests","test_auth","TestLogin","","","test_locked_user_gets_error[chromium]",""
"passed","Sat Apr 04 19:43:03 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","228","tests","test_cart","TestCartPage","","","test_item_name_shown[chromium]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","230","tests","test_cart","TestCartPage","","","test_quantity_is_one[chromium]",""
"passed","Sat Apr 04 19:43:15 EDT 2026","Sat Apr 04 19:43:18 EDT 2026","2879","tests","test_auth","TestLogin","","","test_locked_user_gets_error[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","789","tests","test_auth","TestLogin","","","test_login_button_present[chromium]",""
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","185","tests","test_inventory","TestInventoryDisplay","","","test_images_have_src[chromium]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","496","tests","test_checkout","TestCheckoutOverview","","","test_tax_shown[chromium]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:20 EDT 2026","435","tests","test_cart","TestCartPage","","","test_quantity_is_one[firefox]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","370","tests","test_checkout","TestCheckoutStepOne","","","test_missing_zip[chromium]",""
"passed","Sat Apr 04 19:43:13 EDT 2026","Sat Apr 04 19:43:16 EDT 2026","2198","tests","test_checkout","TestCheckoutOverview","","","test_multiple_items_on_overview[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","234","tests","test_cart","TestCartPage","","","test_continue_shopping[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","956","tests","test_auth","TestLogin","","","test_products_heading_visible[chromium]",""
"passed","Sat Apr 04 19:43:12 EDT 2026","Sat Apr 04 19:43:14 EDT 2026","1492","tests","test_checkout","TestCheckoutOverview","","","test_cancel_on_overview_goes_to_inventory[firefox]",""
"passed","Sat Apr 04 19:43:21 EDT 2026","Sat Apr 04 19:43:21 EDT 2026","956","tests","test_cart","TestAddRemove","","","test_add_all_six[firefox]",""
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","120","tests","test_inventory","TestItemDetail","","","test_click_into_detail[chromium]",""
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","75","tests","test_inventory","TestSorting","","","test_az[chromium]",""
"passed","Sat Apr 04 19:43:03 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","251","tests","test_cart","TestCartBadge","","","test_badge_increments[chromium]",""
"passed","Sat Apr 04 19:43:14 EDT 2026","Sat Apr 04 19:43:17 EDT 2026","3021","tests","test_auth","TestLogin","","","test_username_placeholder[firefox]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","375","tests","test_checkout","TestCheckoutStepOne","","","test_missing_first_name[chromium]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","754","tests","test_checkout","TestOrderComplete","","","test_back_home_after_order[chromium]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","265","tests","test_checkout","TestCheckoutStepOne","","","test_cancel_goes_back_to_cart[chromium]",""
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","12","tests","test_inventory","TestInventoryDisplay","","","test_six_items_shown[chromium]",""
"passed","Sat Apr 04 19:43:10 EDT 2026","Sat Apr 04 19:43:11 EDT 2026","136","tests","test_cart","TestCartBadge","","","test_badge_shows_1[firefox]",""
"passed","Sat Apr 04 19:43:09 EDT 2026","Sat Apr 04 19:43:09 EDT 2026","274","tests","test_cart","TestCartPage","","","test_cart_survives_navigation[firefox]","add item, click into detail, go back — badge should still show 1"
"passed","Sat Apr 04 19:43:14 EDT 2026","Sat Apr 04 19:43:14 EDT 2026","485","tests","test_cart","TestCartPage","","","test_item_name_shown[firefox]",""
"passed","Sat Apr 04 19:43:10 EDT 2026","Sat Apr 04 19:43:10 EDT 2026","140","tests","test_cart","TestCartPage","","","test_checkout_button_visible[firefox]",""
"passed","Sat Apr 04 19:43:21 EDT 2026","Sat Apr 04 19:43:21 EDT 2026","569","tests","test_inventory","TestItemDetail","","","test_back_to_products[firefox]",""
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","236","tests","test_inventory","TestInventoryDisplay","","","test_items_have_names[chromium]",""
"passed","Sat Apr 04 19:43:16 EDT 2026","Sat Apr 04 19:43:17 EDT 2026","883","tests","test_cart","TestCartPage","","","test_continue_shopping[firefox]",""
"passed","Sat Apr 04 19:43:11 EDT 2026","Sat Apr 04 19:43:13 EDT 2026","1085","tests","test_checkout","TestCheckoutOverview","","","test_tax_shown[firefox]",""
"passed","Sat Apr 04 19:43:11 EDT 2026","Sat Apr 04 19:43:13 EDT 2026","1945","tests","test_auth","TestLogin","","","test_empty_username_shows_error[firefox]",""
"passed","Sat Apr 04 19:43:14 EDT 2026","Sat Apr 04 19:43:15 EDT 2026","441","tests","test_cart","TestAddRemove","","","test_cart_starts_empty[firefox]",""
"passed","Sat Apr 04 19:43:10 EDT 2026","Sat Apr 04 19:43:11 EDT 2026","647","tests","test_checkout","TestCheckoutOverview","","","test_item_name_on_overview[firefox]",""
"passed","Sat Apr 04 19:43:05 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","769","tests","test_checkout","TestOrderComplete","","","test_pony_express_image[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","808","tests","test_auth","TestLogin","","","test_empty_password_shows_error[chromium]",""
"passed","Sat Apr 04 19:43:12 EDT 2026","Sat Apr 04 19:43:13 EDT 2026","1187","tests","test_checkout","TestCheckoutOverview","","","test_subtotal[firefox]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:21 EDT 2026","780","tests","test_cart","TestCartPage","","","test_item_price_shown[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","156","tests","test_cart","TestAddRemove","","","test_remove_from_inventory_page[chromium]",""
"passed","Sat Apr 04 19:43:13 EDT 2026","Sat Apr 04 19:43:17 EDT 2026","3630","tests","test_auth","TestLogin","","","test_products_heading_visible[firefox]",""
"passed","Sat Apr 04 19:43:20 EDT 2026","Sat Apr 04 19:43:20 EDT 2026","164","tests","test_inventory","TestSorting","","","test_price_low_to_high[firefox]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:02 EDT 2026","337","tests","test_cart","TestAddRemove","","","test_add_two_items[chromium]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:05 EDT 2026","658","tests","test_checkout","TestCheckoutOverview","","","test_cancel_on_overview_goes_to_inventory[chromium]",""
"passed","Sat Apr 04 19:43:11 EDT 2026","Sat Apr 04 19:43:11 EDT 2026","355","tests","test_cart","TestAddRemove","","","test_remove_from_cart_page[firefox]",""
"passed","Sat Apr 04 19:43:04 EDT 2026","Sat Apr 04 19:43:04 EDT 2026","418","tests","test_checkout","TestCheckoutOverview","","","test_item_name_on_overview[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","924","tests","test_auth","TestLogin","","","test_password_placeholder[chromium]",""
"passed","Sat Apr 04 19:43:02 EDT 2026","Sat Apr 04 19:43:03 EDT 2026","1024","tests","test_auth","TestLogin","","","test_problem_user_can_login[chromium]","problem_user logs in fine but has broken images — we just check login works"
"passed","Sat Apr 04 19:43:06 EDT 2026","Sat Apr 04 19:43:06 EDT 2026","56","tests","test_inventory","TestItemDetail","","","test_add_to_cart_toggles_to_remove[chromium]",""
"passed","Sat Apr 04 19:43:01 EDT 2026","Sat Apr 04 19:43:01 EDT 2026","943","tests","test_auth","TestLogin","","","test_empty_username_shows_error[chromium]",""
"passed","Sat Apr 04 19:43:22 EDT 2026","Sat Apr 04 19:43:22 EDT 2026","167","tests","test_inventory","TestSorting","","","test_price_high_to_low[firefox]",""
